Lexeme			Token			Line Number
struct			STRUCT			13
liste			IDENTIFIER			13
{			LEFT_BRACE			13
int			INT			15
valeur			IDENTIFIER			15
;			SEMICOLON			15
struct			STRUCT			17
liste			IDENTIFIER			17
*			MULTIPLY			17
suivant			IDENTIFIER			17
;			SEMICOLON			17
}			RIGHT_BRACE			19
;			SEMICOLON			19
extern			EXTERN			23
void			VOID			23
*			MULTIPLY			23
malloc			IDENTIFIER			23
(			LEFT_PAREN			23
int			INT			23
size			IDENTIFIER			23
)			RIGHT_PAREN			23
;			SEMICOLON			23
extern			EXTERN			25
void			VOID			25
free			IDENTIFIER			25
(			LEFT_PAREN			25
void			VOID			25
*			MULTIPLY			25
ptr			IDENTIFIER			25
)			RIGHT_PAREN			25
;			SEMICOLON			25
struct			STRUCT			31
liste			IDENTIFIER			31
*			MULTIPLY			31
allouer			IDENTIFIER			31
(			LEFT_PAREN			31
struct			STRUCT			31
liste			IDENTIFIER			31
*			MULTIPLY			31
p			IDENTIFIER			31
)			RIGHT_PAREN			31
{			LEFT_BRACE			31
if			IF			33
(			LEFT_PAREN			33
p			IDENTIFIER			33
!=			NOT_EQUAL			33
0			CONSTANT			33
)			RIGHT_PAREN			33
{			LEFT_BRACE			33
p			IDENTIFIER			35
->			ARROW			35
suivant			IDENTIFIER			35
=			ASSIGN			35
malloc			IDENTIFIER			35
(			LEFT_PAREN			35
sizeof			SIZEOF			35
(			LEFT_PAREN			35
p			IDENTIFIER			35
)			RIGHT_PAREN			35
)			RIGHT_PAREN			35
;			SEMICOLON			35
return			RETURN			37
p			IDENTIFIER			37
->			ARROW			37
suivant			IDENTIFIER			37
;			SEMICOLON			37
}			RIGHT_BRACE			39
else			ELSE			39
{			LEFT_BRACE			39
p			IDENTIFIER			41
=			ASSIGN			41
malloc			IDENTIFIER			41
(			LEFT_PAREN			41
sizeof			SIZEOF			41
(			LEFT_PAREN			41
p			IDENTIFIER			41
)			RIGHT_PAREN			41
)			RIGHT_PAREN			41
;			SEMICOLON			41
return			RETURN			43
p			IDENTIFIER			43
;			SEMICOLON			43
}			RIGHT_BRACE			45
}			RIGHT_BRACE			47
struct			STRUCT			51
liste			IDENTIFIER			51
*			MULTIPLY			51
desallouer			IDENTIFIER			51
(			LEFT_PAREN			51
struct			STRUCT			51
liste			IDENTIFIER			51
*			MULTIPLY			51
p			IDENTIFIER			51
)			RIGHT_PAREN			51
{			LEFT_BRACE			51
struct			STRUCT			53
liste			IDENTIFIER			53
*			MULTIPLY			53
q			IDENTIFIER			53
;			SEMICOLON			53
q			IDENTIFIER			55
=			ASSIGN			55
p			IDENTIFIER			55
->			ARROW			55
suivant			IDENTIFIER			55
;			SEMICOLON			55
free			IDENTIFIER			57
(			LEFT_PAREN			57
p			IDENTIFIER			57
)			RIGHT_PAREN			57
;			SEMICOLON			57
return			RETURN			59
